CW,H or P,Response Total,Most Dominant Definition,% Most Dominant,Second Most Dominant Definition,% Second Most Dominant,%  Two Most Dominant ,Dominance Score,Post-Norming H or P,Notes
IVORY,P,92,elephant tusk,0.73,off-white color,0.27,1.00,0.64,,
JADE,H,93,semiprecious gemstone,0.61,green color,0.39,1.00,0.35,P,2nd Homonym def is infrequent (worn out through over-exposure)
JAM,H,93,preserve of crushed fruit,0.77,improvise musically,0.23,1.00,0.71,,
JAPANESE,P,95,people/culture,0.48,food,0.35,0.83,0.27,,
JERK,H,93,stupid fatuous person,0.79,meat (especially beef) cut in strips,0.17,0.96,0.79,,
JINGLE,P,95,a metallic sound,0.69,"catchy and rhythmic verse, song, etc., esp. one used in advertising",0.31,1.00,0.55,,
JOINT,P,94,the point of connection between two bones,0.70,marijuana cigarette,0.22,0.92,0.68,,
JOKER,P,94,character in Batman,0.55,playing card,0.31,0.87,0.44,,
JUG,P,95,what's contained in a jug,0.69,a large bottle with a narrow mouth,0.29,0.98,0.59,,
JUNIOR,P,96,a third-year undergraduate/high schooler,0.67,the younger of two persons,0.33,1.00,0.50,,
KEG,P,89,quantity contained in a keg,0.61,small cask or barrel,0.39,1.00,0.35,,
KITTY,H,92,domestic cat,1.00,combined stakes of the betters,0.00,1.00,1.00,,
KNEES,P,96,hinge joint in the human leg,0.99,part of a trouser leg,0.01,1.00,0.99,,
KOREAN,P,95,person/culture,0.73,food,0.20,0.93,0.73,,
LABOR,P,189,physical work done for wages,0.81,concluding state of pregnancy,0.19,1.00,0.77,,
LACE,P,91,delicate decorative fabric woven in an open web of symmetrical patterns,0.66,a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment,0.34,1.00,0.50,,
LAMB,P,94,young sheep,0.75,flesh of a young domestic sheep eaten as food,0.25,1.00,0.67,,
LAP,H,95,upper side of the thighs of a seated person,0.69,movement once around a course,0.31,1.00,0.56,,
LAVENDER,P,96,aromatic shrubs,0.63,pale purple color,0.37,1.00,0.40,,
LEAD,H,95,an advantage held by a competitor in a race,0.41,the marking substance in a pencil,0.32,0.73,0.22,,
LEAN,H,187,lacking excess flesh,0.63,incline or bend from a vertical position,0.37,1.00,0.42,,
LEGS,P,96,human limb,0.97,supports for a piece of furniture,0.03,1.00,0.97,,
LEMON,P,191,yellow oval fruit,0.99,defective auto,0.01,1.00,0.99,,
LETTER,P,96,written message addressed to a person,0.78,characters of the alphabet,0.22,1.00,0.71,,
LIBRARY,P,93,collection of literary documents or records kept for reference or borrowing,0.59,building that houses a collection of books,0.41,1.00,0.31,,
LIMB,H,190,appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper,0.93,branches arising from a tree,0.07,1.00,0.92,P,2nd WS Homonym def is obscure (edge/border)
LIMP,H,95,uneven manner of walking,0.72,without energy or will,0.28,1.00,0.61,,
LINCOLN,H,95,president,0.90,car,0.05,0.95,0.95,,Car brand name is not listed in WS dictionary
LINE,H,188,mark that is long relative to its width,0.55,formation of people or things one beside another,0.39,0.94,0.28,P,"2nd WS Homonym def (e.g., line the inside of) not in top 2 norming responses"
LIVER,H,94,bodily organ,0.86,liver of an animal used as meat,0.14,1.00,0.84,P,Other homonym defs infrequent (one who lives; comparative of live)
LOBSTER,P,93,edible flesh of a lobster,0.51,marine crustaceans,0.49,1.00,0.04,,
LOCK,H,96,fastener fitted to a door or drawer to keep it firmly closed,0.98,strand or cluster of hair,0.02,1.00,0.98,,
LOG,H,95,segment of the trunk of a tree,0.73,record,0.18,0.91,0.76,,
LORD,P,96,god,0.51,nobleman,0.49,1.00,0.05,,
MADONNA,P,189,pop star,0.99,Virgin Mary,0.01,1.00,0.99,,
MAGAZINE,P,93,a periodic publication,0.92,business firm that publishes magazines,0.08,1.00,0.92,,
MAIL,H,96,letters and packages that are transported by the postal service,0.99,flexible armor,0.01,1.00,0.99,,
MAJOR,P,94,principal field of study of a student at a university,0.70,"important, serious, significant",0.21,0.91,0.71,,
MAN,P,93,adult male,0.85,human being,0.15,1.00,0.82,,
MAPLE,P,93,trees or shrubs,0.65,flavor,0.29,0.95,0.55,,
MARBLE,P,93,metamorphic rock that takes a high polish,0.58,small ball of glass,0.42,1.00,0.28,,
MARCH,H,96,month,0.67,the act of marching,0.32,0.98,0.52,,
MASS,H,93,have weight in a gravitational field,0.77,Church celebration of the Eucharist,0.23,1.00,0.69,,
MATCH,H,96,lighter consisting of a thin piece of wood,0.47,person/thing that's equal,0.41,0.88,0.13,,
MATERIAL,P,189,stuff,0.75,"cloth, fabric",0.25,1.00,0.67,,
MEDITERRANEAN,P,95,sea (region),0.67,food,0.33,1.00,0.50,,
MENU,P,93,list of dishes available at a restaurant,0.97,list of options available to a computer user,0.03,1.00,0.96,,
MEXICAN,P,93,native or inhabitant of Mexico,0.55,food,0.45,1.00,0.18,,
MIGHT,H,188,possibility,0.51,power/physical strength,0.49,1.00,0.03,,
MILK,P,189,nutritious liquid secreted by mammals,0.81,take milk from female mammals,0.19,1.00,0.76,,
MINE,H,93,excavation in the earth,0.53,showing possession,0.47,1.00,0.11,,
MINT,H,192,leaves of a mint plant used fresh or candied,0.96,plant where money is coined by authority of the government,0.04,1.00,0.96,,
MISS,H,96,(fail to perceive or to catch with the senses or the mind,0.55,a young female,0.45,1.00,0.18,,
MISSISSIPPI,P,95,state,0.51,river,0.49,1.00,0.03,,
MODEL,P,93,fashion model,0.74,"type of product, e.g., car model",0.18,0.92,0.76,,
MOLD,H,94,a fungus,0.83,"shape, influence",0.17,1.00,0.79,,
MOLE,H,96,burrowing mammal,0.51,pigmented spot on the skin,0.45,0.97,0.12,,
MONITOR,P,190,computer screen,0.65,keep tabs on,0.35,1.00,0.45,,
MOUTH,P,96,"oral cavity, opening",0.78,the externally visible part of the oral cavity on the face and the system of organs surrounding the opening,0.22,1.00,0.71,,
MOZART,P,94,music,0.65,composer,0.35,1.00,0.47,,
MUSIC,P,93,sounds produced by singers or musical instruments,0.61,artistic form of auditory communication,0.39,1.00,0.37,,
MUSTANG,U,94,car,0.65,horse,0.35,1.00,0.46,?,Car name not listed in WS dictionary
NAIL,P,96,finger/toe,0.70,thin pointed piece of metal that is hammered,0.30,1.00,0.58,,
NAVY,P,95,organization of military,0.76,dark shade of blue,0.24,1.00,0.68,,
NECK,P,96,connects the head to the rest of the body,0.96,opening in a garment for the neck of the wearer,0.04,0.99,0.96,,
NEWSPAPER,P,191,daily or weekly publication,0.95,a business firm that publishes newspapers,0.05,1.00,0.95,,
NIRVANA,P,93,Seattle band,0.54,"enlightenment, bliss",0.46,1.00,0.16,?,Band name is not listed in WS dictionary
NOODLE,H,96,strip of pasta,0.93,pool floatie,0.07,1.00,0.93,,
NOSE,P,96,prominent part of the face of man or other mammals,0.76,the sense of smell,0.24,1.00,0.68,,
NOTE,P,96,brief written record,0.96,musical notation,0.04,1.00,0.96,,
NOVEL,H,93,extended fictional work,0.84,pleasantly new or different,0.16,1.00,0.82,,
NUT,P,94,hard-shelled seed,0.92,freak/crazy person,0.08,1.00,0.92,,
OAK,P,92,deciduous tree,0.65,hard durable wood,0.35,1.00,0.47,,
ODD,P,92,peculiar,0.66,not divisible by two,0.34,1.00,0.48,,
OIL,P,96,"petroleum, dark oil consisting mainly of hydrocarbons",0.62,liquid (edible) fats that are obtained from plants,0.38,1.00,0.38,,
OLIVE,P,96,small ovoid fruit,0.94,yellow-green color,0.06,1.00,0.93,,
OPENING,P,95,the act of opening something,0.56,ceremony accompanying the start of some enterprise,0.44,1.00,0.21,,
OPERATION,P,94,"surgery, medical procedure",0.59,military (or business) operation,0.27,0.86,0.54,,
ORANGE,P,95,fruit,0.68,color,0.32,1.00,0.53,,
ORDER,P,96,"request for something to be made, supplied, or served",0.52,command given by a superior,0.29,0.80,0.44,,
ORGAN,P,96,biological/functional unit in an animal that is specialized,0.75,musical instrument,0.25,1.00,0.67,,
PALACE,P,96,official residence/stately mansion,0.53,governing group of a kingdom,0.47,1.00,0.12,,
PALM,H,93,surface of the hand,0.54,tree,0.46,1.00,0.15,,
PANEL,P,95,committee appointed to judge a competition,0.72,sheet that forms a distinct section,0.28,1.00,0.61,,
PAPER,P,93,material made of cellulose pulp,0.82,an essay,0.18,1.00,0.78,,
PARK,P,191,area of land preserved in its natural state as public property,0.81,"place temporarily, e.g., parking space",0.19,1.00,0.76,,
PART,P,93,piece,0.85,line of scalp when hair is combed,0.15,1.00,0.82,,
PARTY,P,190,people gathered for pleasure,0.98,political party,0.02,1.00,0.98,,
PASS,P,96,success in satisfying a test or requirement,0.64,a play that involves getting the ball to a teammate,0.21,0.85,0.67,,
PASSAGE,P,191,a way through or along which someone or something may pass,0.51,section of text,0.32,0.83,0.37,,
PAWN,H,92,chess piece,0.71,an article deposited as security,0.29,1.00,0.58,,
PEACH,P,96,fruit,0.85,shade of pink,0.15,1.00,0.82,,
PEARL HARBOR,P,189,naval base that was attacked by the Japanese,0.83,a harbor on Oahu to the west of Honolulu,0.17,1.00,0.80,,
PEEP,H,94,a secret look,0.54,weak cry of a young bird,0.32,0.86,0.41,,
PEER,H,192,"person who is of equal standing, an equal",0.86,look searchingly,0.14,1.00,0.84,,
PEN,H,96,writing implement,1.00,enclosure for confining livestock,0.00,1.00,1.00,,
PENTAGON,P,93,United States military establishment,0.52,five-sided polygon,0.48,1.00,0.08,,
PERCH,H,90,"resting place, especially for a bird",0.96,fish,0.04,1.00,0.96,,
PET,P,96,domesticated animal,0.95,a computerized radiographic technique,0.05,0.99,0.95,H,2nd WS Homonym def is obscure (building material); Norming Def 2 is acronym and not listed in WS dictionary
PICASSO,P,96,work of the artist Picasso,0.68,influential Spanish artist,0.32,1.00,0.52,,
PICKET,P,91,part of a fence,0.76,protest posted by a labor organization,0.24,1.00,0.68,,
PILL,P,95,tablet of medicine,0.90,birth  control,0.10,1.00,0.89,,
PINE,H,93,coniferous tree,0.89,yellowish timber,0.06,0.95,0.93,,
PIPE,H,96,tube made of metal or plastic that is used to carry water or oil or gas,0.74,tobacco pipe,0.26,1.00,0.66,P,2nd WS Homonym def is obscure (unit of capacity)
PIT,H,93,sizeable hole,0.83,"inner ""stone"" of some fruits",0.17,1.00,0.80,,
PITCH,H,92,act of throwing a baseball,0.52,property of sound that varies with variation in the frequency,0.42,0.94,0.18,,
PITCHER,H,92,"baseball, the person who does the pitching",0.50,vessel with a handle and a spout for pouring,0.50,1.00,0.00,,
PLANE,H,96,aircraft,0.95,mathematics: an unbounded two-dimensional shape,0.05,1.00,0.94,,Airplane definition not an entry
PLANT,P,189,botany: a living organism,0.95,buildings for carrying on industrial labor,0.05,1.00,0.95,,
PLASTIC,P,95,synthetic or semisynthetic materials,0.99,credit card,0.01,1.00,0.99,,
PLATE,P,96,dish on which food is served,0.99,baseball base,0.01,1.00,0.99,,
PLAY,P,192,participate in games or sport,0.74,dramatic work,0.19,0.92,0.74,,
PLOT,H,95,story that is told in a novel or play or movie etc.,0.80,a graph or visual representation of data,0.12,0.92,0.85,,
PLUG,P,187,electrical connection,0.65,blockage consisting of an object designed to fill a hole tightly,0.35,1.00,0.46,,
POACH,H,93,hunt illegally,0.51,cook in a simmering liquid,0.49,1.00,0.05,,
POINT,P,91,sharp end,0.57,"indicate a place, direction, person, or thing",0.43,1.00,0.25,,
POKER,H,189,card game,0.99,metal rod with a handle,0.01,1.00,0.99,,
POOL,H,96,excavation filled with water,0.92,billiards,0.08,1.00,0.91,,
PORT,H,92,seaport or airport,0.83,circuitry that links one computer device with another,0.15,0.98,0.82,,
POST,H,96,mail/letters,0.58,display in a public place or for public notice,0.34,0.92,0.41,,
POT,H,96,cooking vessel,0.61,marijuana,0.28,0.89,0.55,,
POTATO,P,93,food,0.89,garden vegetable,0.11,1.00,0.88,,
POUND,H,93,16 ounces,0.54,basic unit of money in Great Britain,0.22,0.76,0.59,,
PRESENT,H,188,period of time that is happening now,0.59,gift,0.40,0.99,0.32,,
PRESS,H,93,print media,0.67,exert pressure or force to or upon,0.33,1.00,0.50,P,2nd WS Homonym def is obscure (military service)
PRINTER,P,95,machine that prints,0.98,someone whose occupation is printing,0.02,1.00,0.98,,
PRISON,P,93,building,0.52,a correctional institution,0.48,1.00,0.07,,
PROGRAM,P,190,a sequence of instructions that a computer can interpret and execute,0.53,"a planned series of future events, items, or performances",0.25,0.79,0.52,,
PUNCH,H,96,deliver a quick blow to,0.63,iced mixed drink,0.38,1.00,0.40,,
PUPIL,H,95,center of the iris of the eye,0.61,student,0.39,1.00,0.37,,
PYRAMID,P,95,Pyramid of Egypt,0.74,geometrical shape,0.26,1.00,0.64,,
QUACK,H,96,sound of a duck,0.81,an untrained person who pretends to be a physician,0.19,1.00,0.77,,
QUEEN,P,93,the wife of a king,0.84,fertile female in a colony of social insects such as bees,0.13,0.97,0.84,,
RABBIT,P,191,burrowing animals,0.98,flesh of rabbits for food,0.02,1.00,0.98,,
RACE,H,96,any competition,0.59,people of the same genetic stock,0.41,1.00,0.30,,
RACKET,H,190,a sports implement,0.70,a loud and disturbing noise,0.30,1.00,0.58,,
RADIO,P,96,broadcasting electromagnetic waves,0.88,electronic receiver,0.12,1.00,0.86,,
RADIOHEAD,*,177,music,0.65,band,0.35,1.00,0.47,,Band name is not listed in WS dictionary
RADISH,P,95,edible root,0.86,cultivated plants,0.14,1.00,0.84,,
RAM,H,95,male sheep,0.60,force/strike,0.18,0.78,0.71,P,2nd WS Homonym def is acronym (computer memory) but was not in top 2 of norming
RANGE,P,94,place for shooting/firing,0.37,mathematical values,0.30,0.66,0.19,,
RARE,H,96,uncommonness,0.86,cooked a short time,0.14,1.00,0.84,,
RASH,H,96,red eruption of the skin,0.92,foolhardy,0.08,1.00,0.92,,
RATE,H,96,estimate the value of),0.41,frequency relative to a time unit,0.38,0.79,0.07,P,2nd WS Homonym def is obscure (scold)
RATTLE,P,91,baby's toy,0.44,sections at the end of a rattlesnake's tail,0.44,0.89,0.00,,
REACTION,P,93,response,0.59,chemical reaction,0.41,1.00,0.31,,
RECORD,P,96,sound recording,0.71,he best (or worst) performance,0.16,0.88,0.77,,
REDWOOD,P,90,huge coniferous California trees,0.92,soft reddish wood,0.08,1.00,0.91,,
REEL,H,92,fishing rod,0.63,a roll of photographic film,0.34,0.97,0.46,,
RESERVATION,P,95,something reserved in advance,0.71,a district that is reserved (Indian reservation),0.27,0.98,0.62,,
REVIEW,P,96,practice intended to polish performance or refresh the memory,0.60,essay or article that gives a critical evaluation,0.40,1.00,0.33,,
RIGHT,P,95,on the right side of the body,0.63,correct,0.34,0.97,0.47,,
RING,H,96,jewelry,0.80,sound of a bell ringing,0.16,0.96,0.79,,
ROCK,H,96,mineral,0.64,popular music,0.32,0.96,0.49,,
ROD,P,93,a long thin implement made of metal or wood,0.96,visual receptor,0.04,1.00,0.96,,
ROLL,P,92,anything rolled up in cylindrical form,0.44,move by turning over or rotating,0.40,0.85,0.08,,
ROOM,P,95,an area within a building enclosed by walls and floor and ceiling,0.90,space for movement,0.10,1.00,0.89,,
ROW,H,95,propel with oars,0.63,"a linear array of numbers, letters, or symbols",0.37,1.00,0.42,,
RUBY,P,189,precious gem,0.57,deep red,0.43,1.00,0.24,,
RULER,P,95,measuring stick,0.77,a person who rules or commands,0.23,1.00,0.70,,
SALMON,P,96,game fishes,0.77,pale pinkish orange color,0.23,1.00,0.70,,
SASH,H,92,band of material,1.00,window,0.00,1.00,1.00,,
SAW,H,96,tool for cutting,0.45,past tense of see,0.34,0.79,0.25,,
SCALE,H,93,weighing machine,0.75,from the surface (of the skin),0.14,0.89,0.82,,
SCENE,P,191,subdivision of a film or play,0.58,place where some action occurs,0.42,1.00,0.27,,
SCHOOL,H,94,building where  people receive education,0.57,an educational institution,0.43,1.00,0.25,P,"2nd WS Homonym def (e.g., school of fish) is infrequent"
SCOOP,P,96,quantity a scoop will hold,0.63,a news report,0.17,0.80,0.73,,
SCOUT,H,93,Boy Scout or Girl Scout,0.69,"explore, often with the goal of finding something or somebody",0.17,0.86,0.75,,
SCREEN,P,96,electronic display,0.70,protective covering,0.18,0.88,0.74,,
SEAL,H,96,marine mammals,0.62,Navy seal,0.20,0.82,0.67,,
SEASON,P,189,time of year,0.91,lend flavor to,0.09,1.00,0.90,,
SECOND,H,96,following first,0.61,1/60 of a minute,0.38,0.99,0.37,,
SENSE,P,96,sensation/senses,0.85,sound practical judgment,0.13,0.98,0.85,,
SENTENCE,P,93,a string of words,0.89,time a prisoner is imprisoned,0.11,1.00,0.87,,
SHAKESPEARE,P,93,writing/poems/plays,0.72,writer,0.28,1.00,0.62,,
SHED,H,96,outbuilding,0.52,get rid of,0.42,0.93,0.20,,
SHEET,H,93,bed linen,0.52,piece of paper,0.48,1.00,0.08,P,2nd WS Homonym def is obscure (sail)
SHEETS,H,94,bed linen,0.63,piece of paper,0.37,1.00,0.42,P,2nd WS Homonym def is obscure (sail)
SHOWER,H,190,plumbing fixture,0.93,rain/precipitation,0.06,0.99,0.93,P,2nd Homonym def is different pronunciation and infrequent (one that shows)
SIGN,P,93,public display of a message,0.45,gesture that is part of a sign language,0.29,0.73,0.35,,
SILK,P,95,fabric made from  fine threads,0.89,animal fibers produced by silkworms,0.11,1.00,0.88,,
SINK,P,93,plumbing fixture,0.71,fall or descend,0.29,1.00,0.60,,
SLATE,P,82,a writing tablet,0.57,thin layers of rock,0.32,0.90,0.44,,
SLIDE,P,95,playground equipment,0.79,skid/move sideways,0.17,0.96,0.79,,
SMOKE,P,93,inhale and exhale smoke from cigarettes,0.53,a cloud of fine particles suspended in a gas,0.47,1.00,0.11,,
SNORT,P,93,inhale through the nose,0.57,a disrespectful laugh,0.35,0.92,0.38,,
SODA,P,96,pop/coke,0.99,sodium carbonate,0.01,1.00,0.99,,
SOLE,H,187,foot/footwear,0.73,alone/only,0.24,0.97,0.66,,
SOLUTION,P,94,solving a problem,0.68,liquid mixture,0.32,1.00,0.53,,
SPACE,P,92,outside the Earth's atmosphere,0.78,an empty area,0.22,1.00,0.71,,
SPADE,H,95,a playing card,0.75,hand shovel,0.25,1.00,0.66,,
SPANISH,P,92,language,0.61,people (culture),0.39,1.00,0.37,,
SPEAKER,P,191,talker,0.55,acoustic transducer,0.45,1.00,0.19,,
SPEECH,P,189,the act of delivering a formal spoken communication to an audience,0.58,language/communication by word of mouth,0.42,1.00,0.29,,
SPELL,H,95,recite the letters of,0.60,enchantment,0.40,1.00,0.32,,
SPIT,H,96,eject saliva,0.98,skewer for holding meat,0.02,1.00,0.98,,
SPOKE,H,96,express in speech,0.90,wheel,0.10,1.00,0.89,,
SPONGE,P,96,"wipe with a sponge, so as to clean",0.68,Sponge Bob,0.27,0.95,0.60,,
SPOT,P,96,"speckle, small contrasting part of something",0.68,blemish made by dirt,0.18,0.85,0.74,,
SPREAD,P,93,tasty mixture to be spread on bread or crackers,0.81,extending over a wide expanse of space,0.19,1.00,0.76,,
SPRING,P,93,season of growth,0.93,metal elastic device,0.07,1.00,0.93,,
SQUARE,P,95,geometry,0.87,an open area at the meeting of two or more streets,0.13,1.00,0.86,,
SQUASH,H,95,squash plant,0.67,compress with violence,0.21,0.89,0.68,,
STABLE,H,93,horse barn,0.56,firm and dependable,0.44,1.00,0.22,,
STAFF,H,96,personnel,0.95,strong rod or stick,0.05,1.00,0.94,P,2nd WS Homonym def is obscure (building material); personnel def is polyseme
STALK,H,187,follow stealthily,0.69,plants,0.31,1.00,0.55,,
STALL,H,95,area set off by walls,0.63,procrastinate,0.33,0.97,0.47,,
STAR,P,189,celestial body,0.82,someone who is dazzlingly skilled,0.15,0.97,0.82,,
STARBUCKS,*,95,coffee,0.73,café/company,0.27,1.00,0.63,P,Not listed in WS dictionary
STARCH,P,93,food,0.90,laundry,0.10,1.00,0.89,,
STATE,P,95,province in the US,0.86,way something is with respect to its main attribute,0.14,1.00,0.84,,
STEER,H,92,maneuver,0.80,bull,0.20,1.00,0.75,,
STEP,P,96,raising the foot and setting it down,0.63,stairway,0.37,1.00,0.42,,
STOCK,P,93,ownership interest in a company,0.46,inventory,0.31,0.77,0.32,,
STORE,P,96,retail shop,0.78,keep or lay aside for future use,0.19,0.98,0.75,,
STORY,H,93,narrative,0.96,vertical level,0.04,1.00,0.96,,
STRAW,P,94,drinking,0.64,plant fiber,0.36,1.00,0.43,,
STRIKE,P,187,attack,0.30,baseball,0.29,0.59,0.05,,
STRINGS,P,95,"cord, thread",0.57,musical instrument,0.43,1.00,0.25,,
STRIP,H,191,undress,0.65,long narrow piece of something,0.35,1.00,0.46,,
STROKE,P,95,rupture or occlusion of a blood vessel,0.75,move hand with gentle pressure,0.13,0.88,0.83,,
SUBJECT,P,94,"branch of knowledge, field of study",0.66,topic of a conversation,0.28,0.95,0.58,,
SUBWAY,P,96,restaurant,0.60,metro/underground train,0.40,1.00,0.33,H,Restaurant name not listed in WS dictionary
SUIT,P,94,set of garments,0.95,playing cards,0.05,1.00,0.95,,
SUN,P,96,Earth's star,0.65,rays of the sun,0.35,1.00,0.46,,
SWALLOW,H,189,act of swallowing,0.77,bird,0.23,1.00,0.69,,
TAB,P,93,(computerized) menu tab,0.42,"bill, check",0.34,0.75,0.20,,
TABLE,P,96,piece of furniture,0.99,array of data,0.01,1.00,0.99,,
TAG,H,96,game in which one child chases the others,0.71,label written or printed,0.29,1.00,0.59,,
TANGO,P,96,ballroom dance,0.97,music,0.03,1.00,0.97,,
TAP,P,96,strike lightly,0.37,tap dancing,0.33,0.71,0.10,,
TAPE,P,96,piece of something for binding/fastening (adhesive),0.69,recording,0.22,0.91,0.69,,
TARGET,P,96,retail store,0.63,reference point to shoot at,0.37,1.00,0.41,,
TART,H,96,sourish,0.53,pastry,0.47,1.00,0.13,,
TEAR,H,96,teardrop,0.69,split,0.31,1.00,0.56,,
TEASPOON,P,96,what a teaspoon will hold,0.54,a small spoon,0.46,1.00,0.16,,
TEETH,P,93,bonelike structures used for biting and chewing,1.00,projections on a gear,0.00,1.00,1.00,,
TELEVISION,P,93,broadcasting visual images,0.78,electronic device,0.22,1.00,0.71,,
TEMPLE,H,95,place of worship,0.83,side of the forehead,0.17,1.00,0.79,,
TERM,P,95,a limited period of time,0.76,a word or expression used for some particular thing,0.24,1.00,0.68,,
TERMINAL,P,96,station where transport vehicles load or unload passengers or goods,0.60,causing or ending in or approaching death,0.37,0.98,0.38,,
THEATER,P,96,the art of writing and producing plays,0.87,a building where theatrical performances or motion-picture shows can be presented,0.13,1.00,0.85,,
THREADS,P,92,a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,0.69,informal terms for clothing,0.24,0.93,0.65,,
TICK,H,190,metallic tapping sound,0.68,arachnids,0.32,1.00,0.52,,
TIE,P,96,necktie,0.70,bind,0.22,0.92,0.69,,
TIP,H,96,gratuity,0.79,edge/point,0.13,0.92,0.84,,
TIRE,H,191,wheel,0.88,fatigue,0.13,1.00,0.86,,
TITLE,P,191,name of a work of art or literary composition etc.,0.73,an identifying appellation signifying status or function,0.25,0.98,0.66,,
TOAST,H,96,slices of bread,0.91,a drink in honor of or to the health of a person or event,0.09,1.00,0.90,,
TOES,P,96,digits of the foot,1.00,the part of footwear that provides a covering for the toes,0.00,1.00,1.00,,
TONGUE,P,96,tissue in the oral cavity,0.97,language,0.03,1.00,0.97,,
TOYOTA,*,94,car,0.83,company,0.17,1.00,0.79,P,Car brand name is not listed in WS dictionary
TRACE,H,95,make a mark or lines on a surface,0.64,a just detectable amount,0.36,1.00,0.44,P,2nd Homonym def is obscure (rope/chain)
TRACK,P,93,a course over which races are run,0.82,a groove on a phonograph recording,0.10,0.92,0.88,,
TRIAL,P,96,law) the determination of a person's innocence or guilt by due process of law,0.64,the act of testing something,0.36,1.00,0.43,,
TRIANGLE,P,96,a three-sided polygon,0.77,something approximating the shape of a triangle,0.23,1.00,0.70,,
TRIP,P,95,a journey,0.66,an accidental misstep threatening (or causing) a fall,0.34,1.00,0.50,,
TROUT,P,96,fishes of cool fresh waters,0.91,flesh of any of several primarily freshwater game and food fishes,0.09,1.00,0.90,,
TRUNK,P,95,compartment in an automobile,0.43,main stem of a tree,0.22,0.65,0.48,,
TUB,P,95,bathtub,0.77,what a tub will hold,0.17,0.95,0.78,,
TUNA,H,94,(food) served as steaks,0.46,warm-water fish,0.38,0.84,0.18,P,2nd WS Homonym def is obscure (cactus)
TURKEY,H,96,fowl usually roasted,0.78,bird with fan-shaped tail,0.18,0.96,0.77,,
TURN,P,95,change orientation or direction,0.96,game,0.04,1.00,0.95,,
TURQUOISE,P,96,color,0.78,mineral,0.22,1.00,0.72,,
TYPE,P,188,printed characters,0.53,subdivision of a particular kind of thing,0.47,1.00,0.13,,
UNIFORM,P,92,clothing of distinctive design,0.78,always the same,0.22,1.00,0.71,,
UNIVERSITY,P,189,large and diverse institution of higher learning,0.71,establishment where a seat of higher learning is housed,0.29,1.00,0.58,,
URCHIN,P,95,(sea urchin) shallow-water echinoderms,0.92,poor and often mischievous city child,0.08,1.00,0.92,,
VATICAN,P,92,the authority of the Pope,0.51,residence of the Catholic Pope,0.49,1.00,0.05,,
VEGAS,*,96,entertainment and gambling and general excess,0.77,city in Nevada,0.23,1.00,0.71,P,City name is not listed in WS dictionary
VESSEL,P,95,craft designed for water transportation,0.62,a tube in which a body fluid circulates,0.22,0.84,0.65,,
VET,H,96,veterinarian,0.67,veteran,0.33,1.00,0.50,,
VIETNAM,P,96,war,0.65,country,0.26,0.91,0.60,,
VIOLET,P,93,color,0.73,flowers,0.27,1.00,0.63,,
VOLKSWAGEN,*,189,car,0.80,brand/company,0.20,1.00,0.75,P,Car brand name is not listed in WS dictionary
VOLLEYBALL,P,96,game,0.95,an inflated ball,0.05,1.00,0.95,,
VOLUME,P,94,loudness,0.72,amount of 3-dimensional space,0.25,0.97,0.65,,
WALL STREET,P,96,he securities industry of the United States,0.89,a street in lower Manhattan,0.11,1.00,0.87,,
WALNUT,P,96,edible nut,0.81,tree,0.19,1.00,0.76,,
WALTZ,P,94,a ballroom dance,0.90,music,0.10,1.00,0.89,,
WATCH,P,96,small portable timepiece,0.61,look attentively,0.39,1.00,0.37,,
WAVE,P,95,ridges across a body of water,0.83,act of signaling by a movement of the hand,0.17,1.00,0.79,,
WEED,H,192,marijuana,0.67,any plant that crowds out cultivated plants,0.33,1.00,0.52,P,2nd WS Homonym def is obscure (mourning apparel)
WELL,H,96,a deep hole or shaft dug or drilled to obtain a liquid,0.59,in good health,0.41,1.00,0.30,,
WHEELS,P,95,rotating discs on a vehicle,0.80,a wheeled vehicle,0.20,1.00,0.74,,
WHISTLE,P,96,device that produces a loud shrill sound,0.61,the sound,0.39,1.00,0.37,,
WHITE HOUSE,P,95,chief executive department of the US government,0.82,the government building,0.18,1.00,0.78,,
WILL,H,96,a fixed and persistent intent or purpose,0.47,a legal document,0.46,0.94,0.03,,
WIMBLEDON,P,82,annual international tennis championships,0.72,a suburb of London,0.28,1.00,0.61,,
WIND,H,191,air moving,0.99,"weave, meander",0.01,1.00,0.99,,
WINDOW,P,96,a framework of wood or metal hat contains a glass,0.63,opening in a wall or screen that admits light and air,0.37,1.00,0.41,,
WONDER,P,96,curiosity,0.52,"marvel, amazement",0.48,1.00,0.08,,
WOOD,P,93,trees,0.67,cut and prepared for use as a building material,0.33,1.00,0.50,,
WOOL,P,95,a fabric,0.65,outer coat of especially sheep,0.35,1.00,0.45,,
YARD,H,96,(the enclosed land around a house,0.67,unit of length equal to 3 feet,0.33,1.00,0.52,,
YARN,P,96,twisted fibers,0.97,narration,0.03,1.00,0.97,,
ZIP,H,95,a fastener for locking together two toothed edges by means of a sliding tab,0.54,code,0.46,1.00,0.13,,
*CHANEL,P,48,,,,Not calculated,Not calculated,Not calculated,,"*CHANEL not listed, some Ss confused for CHANNEL"
